Open (USDT),Delta,Bid Size,Bid/IV,Mark/IV,Ask/IV,Ask Size,Position,Strike,Position,Bid Size,Bid/IV,Mark/IV,Ask/IV,Ask Size,Delta,Open (USDT)
"3,162,272.99",1.00000,0.50,15.0,"23,534.8",0.0,0.00,--,40000,--,5.01,10.0,21.4,40.0,18.00,-0.00533,"8,578,877.25"
0.00,0.99131,0.00,0.0,"17,579.2",0.0,0.00,--,46000,--,24.65,45.0,49.8,55.0,8.24,-0.01393,"3,431,550.90"
0.00,0.98102,0.00,0.0,"15,622.6",0.0,0.00,--,48000,--,8.33,60.0,64.8,70.0,10.49,-0.01903,"2,119,375.50"
"14,922,431.09",0.99628,0.20,10.0,"13,570.6",0.0,0.00,--,50000,--,12.00,70.0,81.9,95.0,12.00,-0.02556,"18,375,524.22"
"126,719.01",0.93384,5.00,"7,295.0","11,842.3","16,070.0",5.00,--,52000,--,16.66,115.0,122.3,130.0,12.00,-0.03889,"1,682,828.50"
"9,360,733.56",0.89181,5.00,"5,480.0","10,067.7","14,010.0",5.00,--,54000,--,6.18,175.0,177.4,180.0,5.50,-0.05808,"12,017,397.69"
"649,434.94",0.86552,5.00,"4,630.0","9,221.8","12,965.0",5.00,--,55000,--,4.22,225.0,227.4,230.0,2.50,-0.07392,"943,423.05"
"321,232.70",0.83574,5.00,"3,835.0","8,408.2","11,900.0",5.00,--,56000,--,7.39,290.0,292.4,295.0,5.79,-0.09404,"902,872.97"
"1,071,409.26",0.80262,2.76,"3,110.0","7,630.2","10,815.0",2.76,--,57000,--,7.04,385.0,387.4,390.0,6.71,-0.12127,"1,106,890.58"
"4,053,741.25",0.76643,5.00,"2,465.0","6,890.8","9,810.0",5.00,--,58000,--,4.00,510.0,512.4,515.0,3.35,-0.15523,"9,783,341.47"
"1,295,701.91",0.72753,3.66,"1,920.0","6,192.5","8,590.0",3.66,--,59000,--,0.88,680.0,682.4,685.0,5.06,-0.19768,"3,491,742.43"
"1,592,224.41",0.74028,2.40,"4,465.0","4,617.8","4,775.0",2.29,--,60000,--,0.11,900.0,902.4,905.0,7.63,-0.24816,"4,424,394.37"
"2,145,986.50",0.64310,3.00,"3,735.0","4,943.0","6,195.0",3.00,--,61000,--,21.96,"1,175.0","1,177.5","1,180.0",1.57,-0.30597,"3,218,029.36"
"3,217,395.76",0.61541,2.43,"3,065.0","3,527.6","3,995.0",2.50,--,62000,--,1.63,"1,535.0","1,537.4","1,540.0",3.00,-0.37119,"3,320,038.16"
"1,475,009.32",0.55981,2.00,"2,580.0","2,592.4","2,605.0",2.50,--,63000,--,2.35,"1,960.0","1,969.9","1,980.0",3.34,-0.43996,"3,339,679.61"
"1,693,599.62",0.49046,2.00,"2,090.0","2,094.9","2,100.0",3.11,--,64000,--,3.00,"2,435.0","2,455.0","2,475.0",3.00,-0.51026,"3,340,313.21"
"2,270,171.13",0.42220,1.12,"1,665.0","1,672.5","1,680.0",3.63,--,65000,--,0.51,"3,030.0","3,052.4","3,075.0",2.00,-0.57844,"1,089,783.52"
"1,885,578.92",0.35779,1.28,"1,320.0","1,324.9","1,330.0",3.40,--,66000,--,3.00,"3,665.0","3,694.9","3,725.0",2.00,-0.64381,"909,208.92"
"2,513,471.64",0.29933,1.80,"1,040.0","1,044.9","1,050.0",3.33,--,67000,--,3.00,"4,220.0","4,387.4","4,560.0",2.40,-0.70554,"1,995,190.87"
"2,465,318.41",0.24729,2.69,815.0,817.4,820.0,1.59,--,68000,--,4.19,"4,995.0","5,148.4","5,310.0",4.70,-0.75999,"70,962.64"
"2,375,981.51",0.20279,3.82,635.0,639.9,645.0,2.14,--,69000,--,3.67,"2,825.0","6,931.6","9,180.0",3.67,-0.69963,"216,689.51"
"6,183,887.88",0.16511,4.75,495.0,499.9,505.0,3.25,--,70000,--,5.00,"3,445.0","7,750.4","10,395.0",5.00,-0.72990,"4,148,780.51"
"8,939,392.84",0.02919,12.00,65.0,72.2,80.0,1.00,--,78000,--,0.00,0.0,"14,675.6",0.0,0.00,-0.91673,"3,221,197.33"
"7,385,817.73",0.01333,11.91,25.0,31.9,40.0,8.42,--,82000,--,0.00,0.0,"18,484.2",0.0,0.00,-0.95904,"5,731,501.00"
"24,006,917.21",0.00841,0.00,0.0,23.9,25.0,5.70,--,90000,--,0.00,0.0,"26,343.5",0.0,0.00,-0.99186,"19,039,531.85"
"2,261,300.80",0.00105,0.00,0.0,2.8,10.0,4.60,--,105000,--,0.00,0.0,"41,277.6",0.0,0.00,-0.99977,"480,898.65"
"3,164,505.14",1.00000,0.50,15.0,"23,538.4",0.0,0.00,--,40000,--,5.01,10.0,21.4,40.0,18.00,-0.00532,"8,584,932.79"
0.00,0.99132,0.00,0.0,"17,582.7",0.0,0.00,--,46000,--,22.65,45.0,49.8,55.0,10.40,-0.01392,"3,433,973.11"
0.00,0.98104,0.00,0.0,"15,626.1",0.0,0.00,--,48000,--,8.33,65.0,67.4,70.0,11.73,-0.01959,"2,120,871.50"
"14,932,964.34",0.99629,0.20,10.0,"13,574.1",0.0,0.00,--,50000,--,12.00,70.0,81.9,95.0,12.00,-0.02555,"18,388,494.90"
"126,808.46",0.93390,5.00,"7,295.0","11,845.6","16,070.0",5.00,--,52000,--,16.66,115.0,122.3,130.0,12.00,-0.03888,"1,684,016.36"
"9,367,341.00",0.89188,5.00,"5,480.0","10,070.9","14,010.0",5.00,--,54000,--,5.24,175.0,177.4,180.0,5.50,-0.05807,"12,025,880.38"
"649,893.36",0.86561,5.00,"4,630.0","9,224.8","12,965.0",5.00,--,55000,--,22.57,220.0,232.3,245.0,1.15,-0.07488,"944,088.99"
"321,459.44",0.83584,5.00,"3,835.0","8,411.1","11,900.0",5.00,--,56000,--,6.91,290.0,292.4,295.0,5.79,-0.09401,"903,510.28"
"1,072,165.53",0.80273,2.76,"3,110.0","7,633.0","10,815.0",2.76,--,57000,--,6.71,385.0,392.4,400.0,7.79,-0.12208,"1,107,671.90"
"4,056,602.66",0.76655,5.00,"2,465.0","6,893.5","9,810.0",5.00,--,58000,--,4.00,510.0,512.4,515.0,3.35,-0.15517,"9,790,247.22"
"1,296,616.51",0.72766,3.66,"1,920.0","6,195.0","8,590.0",3.66,--,59000,--,0.88,680.0,682.4,685.0,3.00,-0.19760,"3,494,207.13"
"1,593,348.31",0.74070,2.40,"4,465.0","4,617.8","4,775.0",2.29,--,60000,--,0.11,900.0,902.4,905.0,3.00,-0.24806,"4,427,517.41"
