lastPrice,24h Change,24h High,24h Low,24h Volume(BTC),24h Volume(USDT)
"$57,574.49",89.52 +0.16%,"59,470.00","57,309.09","26,348.81","1,534,465,632.62"
"$57,599.1",95.40 +0.17%,"59,470.00","57,309.09","26,346.59","1,534,337,538.91"
"$57,590.9",94.89 +0.17%,"59,470.00","57,309.09","26,345.01","1,534,247,200.05"
"$57,628.84",142.85 +0.25%,"59,470.00","57,309.09","26,346.11","1,534,310,964.80"
"$57,653.49",159.58 +0.28%,"59,470.00","57,309.09","26,347.91","1,534,414,614.50"
"$57,645.58",137.12 +0.24%,"59,470.00","57,309.09","26,347.14","1,534,370,299.19"
"$57,626.63",129.84 +0.23%,"59,470.00","57,309.09","26,347.77","1,534,406,968.12"
"$57,631.76",131.21 +0.23%,"59,470.00","57,309.09","26,348.44","1,534,445,396.90"
"$57,651.4",45.82 +0.08%,"59,470.00","57,309.09","26,330.69","1,533,423,939.54"
"$57,651.4",80.50 +0.14%,"59,470.00","57,309.09","26,330.20","1,533,395,717.61"
"$57,691.43",30.22 +0.05%,"59,470.00","57,309.09","26,326.67","1,533,192,465.12"
"$57,708.33",44.34 +0.08%,"59,470.00","57,309.09","26,328.30","1,533,286,545.78"
"$57,681.43",35.38 +0.06%,"59,470.00","57,309.09","26,327.02","1,533,212,845.62"
"$57,676.91",32.91 +0.06%,"59,470.00","57,309.09","26,324.46","1,533,065,001.56"
"$57,689.11",66.79 +0.12%,"59,470.00","57,309.09","26,322.46","1,532,950,079.83"
"$57,710.68",66.81 +0.12%,"59,470.00","57,309.09","26,318.57","1,532,725,796.74"
"$57,708.08",28.09 +0.05%,"59,470.00","57,309.09","26,312.96","1,532,402,770.18"
"$57,699.42",-4.60 -0.01%,"59,470.00","57,309.09","26,302.83","1,531,817,844.42"
"$57,699.42",-27.30 -0.05%,"59,470.00","57,309.09","26,297.90","1,531,533,331.51"
"$57,708.08",-86.48 -0.15%,"59,470.00","57,309.09","26,257.19","1,529,182,541.05"
"$57,737.66",-18.00 -0.03%,"59,470.00","57,309.09","26,259.81","1,529,333,131.19"
"$57,776.44",16.90 +0.03%,"59,470.00","57,309.09","26,261.82","1,529,449,519.12"
"$57,771.26",27.27 +0.05%,"59,470.00","57,309.09","26,261.93","1,529,455,905.10"
"$57,765.32",26.77 +0.05%,"59,470.00","57,309.09","26,262.81","1,529,506,932.15"
"$57,756.03",18.04 +0.03%,"59,470.00","57,309.09","26,261.38","1,529,424,089.16"
"$57,742.21",41.75 +0.07%,"59,470.00","57,309.09","26,258.07","1,529,233,705.60"
"$57,756.03",63.33 +0.11%,"59,470.00","57,309.09","26,254.14","1,529,006,382.19"
"$57,764.18",32.19 +0.06%,"59,470.00","57,309.09","26,253.23","1,528,954,024.32"
"$57,763.93",31.45 +0.05%,"59,470.00","57,309.09","26,253.14","1,528,948,875.65"
"$57,740",22.42 +0.04%,"59,470.00","57,309.09","26,254.49","1,529,026,937.75"
"$57,699.54",-38.46 -0.07%,"59,470.00","57,309.09","26,256.06","1,529,117,831.35"
"$57,687.92",-100.60 -0.17%,"59,470.00","57,309.09","26,256.21","1,529,126,070.80"
"$57,683.31",-149.07 -0.26%,"59,470.00","57,309.09","26,231.63","1,527,704,115.56"
"$57,702.04",-178.75 -0.31%,"59,470.00","57,309.09","26,207.67","1,526,314,507.78"
